Method,Path,Bucket
GET,/.well-known/jwks.json,hydra-public-low
GET,/.well-known/openid-configuration,hydra-public-low
GET,/.well-known/ory/webauthn.js,hydra-public-low
GET,/admin/clients,hydra-admin-medium
POST,/admin/clients,hydra-admin-high
GET,/admin/clients/{id},hydra-admin-low
DELETE,/admin/clients/{id},hydra-admin-high
PATCH,/admin/clients/{id},hydra-admin-high
PUT,/admin/clients/{id},hydra-admin-high
HEAD,/.well-known/openid-configuration,hydra-public-low
PUT,/admin/clients/{id}/lifespans,hydra-admin-high
GET,/admin/keys/{set},hydra-admin-medium
DELETE,/admin/keys/{set},hydra-admin-high
POST,/admin/keys/{set},hydra-admin-high
PUT,/admin/keys/{set},hydra-admin-high
GET,/admin/keys/{set}/{kid},hydra-admin-medium
DELETE,/admin/keys/{set}/{kid},hydra-admin-high
PUT,/admin/keys/{set}/{kid},hydra-admin-high
GET,/admin/oauth2/auth/requests/consent,hydra-admin-low
PUT,/admin/oauth2/auth/requests/consent/accept,hydra-admin-low
PUT,/admin/oauth2/auth/requests/consent/reject,hydra-admin-low
PUT,/admin/oauth2/auth/requests/device/accept,hydra-admin-low
GET,/admin/oauth2/auth/requests/login,hydra-admin-low
PUT,/admin/oauth2/auth/requests/login/accept,hydra-admin-low
PUT,/admin/oauth2/auth/requests/login/reject,hydra-admin-low
GET,/admin/oauth2/auth/requests/logout,hydra-admin-low
PUT,/admin/oauth2/auth/requests/logout/accept,hydra-admin-low
PUT,/admin/oauth2/auth/requests/logout/reject,hydra-admin-low
GET,/admin/oauth2/auth/sessions/consent,hydra-admin-low
DELETE,/admin/oauth2/auth/sessions/consent,hydra-admin-high
DELETE,/admin/oauth2/auth/sessions/login,hydra-admin-high
POST,/admin/oauth2/introspect,hydra-admin-low
DELETE,/admin/oauth2/tokens,hydra-admin-high
GET,/admin/trust/grants/jwt-bearer/issuers,hydra-admin-medium
POST,/admin/trust/grants/jwt-bearer/issuers,hydra-admin-high
GET,/admin/trust/grants/jwt-bearer/issuers/{id},hydra-admin-medium
DELETE,/admin/trust/grants/jwt-bearer/issuers/{id},hydra-admin-high
OPTIONS,/admin/clients,hydra-admin-low
OPTIONS,/admin/clients/{id},hydra-admin-low
POST,/credentials,hydra-admin-medium
GET,/oauth2/auth,hydra-public-medium
HEAD,/oauth2/auth,hydra-public-low
POST,/oauth2/device/auth,hydra-public-low
GET,/oauth2/device/verify,hydra-admin-low
OPTIONS,/oauth2/auth,hydra-public-low
POST,/oauth2/register,hydra-public-high
GET,/oauth2/register/{id},hydra-admin-low
DELETE,/oauth2/register/{id},hydra-public-high
PUT,/oauth2/register/{id},hydra-public-high
POST,/oauth2/revoke,hydra-public-medium
GET,/oauth2/sessions/logout,hydra-public-medium
POST,/oauth2/auth,hydra-public-medium
POST,/oauth2/token,hydra-public-medium
GET,/oauth2/consent,hydra-public-low
GET,/oauth2/fallbacks/logout/callback,hydra-public-low
POST,/oauth2/sessions/logout,hydra-public-medium
OPTIONS,/oauth2/token,hydra-public-low
GET,/userinfo,hydra-public-medium
DELETE,/admin/relation-tuples,keto-admin-high
PATCH,/admin/relation-tuples,keto-admin-high
PUT,/admin/relation-tuples,keto-admin-high
GET,/namespaces,keto-admin-high
POST,/opl/syntax/check,keto-admin-medium
POST,/ory.keto.relation_tuples.v1alpha2.CheckService/BatchCheck,keto-public-low
POST,/ory.keto.relation_tuples.v1alpha2.CheckService/Check,keto-public-low
POST,/ory.keto.relation_tuples.v1alpha2.WriteService/TransactRelationTuples,keto-admin-high
GET,/relation-tuples,keto-admin-medium
POST,/relation-tuples/batch/check,keto-public-low
GET,/relation-tuples/check,keto-public-low
POST,/relation-tuples/check,keto-public-low
GET,/relation-tuples/check/openapi,keto-public-low
POST,/relation-tuples/check/openapi,keto-public-low
GET,/relation-tuples/expand,keto-admin-medium
GET,/admin/courier/messages,kratos-admin-high
PATCH,/admin/identities,kratos-admin-high
POST,/admin/identities,kratos-admin-high
DELETE,/admin/identities/{id},kratos-admin-high
PATCH,/admin/identities/{id},kratos-admin-high
PUT,/admin/identities/{id},kratos-admin-high
DELETE,/admin/identities/{id}/credentials/{type},kratos-admin-high
DELETE,/admin/identities/{id}/sessions,kratos-admin-high
POST,/admin/recovery/code,kratos-admin-high
POST,/admin/recovery/link,kratos-admin-high
DELETE,/admin/sessions/{id},kratos-admin-high
PATCH,/admin/sessions/{id}/extend,kratos-admin-high
POST,/scim/{client}/v2/Groups,kratos-admin-high
PUT,/scim/{client}/v2/Groups/{id},kratos-admin-high
PATCH,/scim/{client}/v2/Groups/{id},kratos-admin-high
DELETE,/scim/{client}/v2/Groups/{id},kratos-admin-high
POST,/scim/{client}/v2/Users,kratos-admin-high
PUT,/scim/{client}/v2/Users/{id},kratos-admin-high
PATCH,/scim/{client}/v2/Users/{id},kratos-admin-high
DELETE,/scim/{client}/v2/Users/{id},kratos-admin-high
GET,/admin/identities/{id},kratos-admin-low
GET,/admin/sessions/{id},kratos-admin-low
OPTIONS,/admin/identities/{id},kratos-admin-low
GET,/admin/courier/messages/{id},kratos-admin-medium
GET,/admin/identities,kratos-admin-medium
GET,/admin/identities/{id}/sessions,kratos-admin-medium
GET,/admin/identities/by/external/{externalID},kratos-admin-medium
GET,/admin/sessions,kratos-admin-medium
GET,/schemas,kratos-admin-medium
GET,/schemas/{id},kratos-admin-medium
GET,/scim/{client}/v2/Groups,kratos-admin-medium
GET,/scim/{client}/v2/Groups/{id},kratos-admin-medium
GET,/scim/{client}/v2/Schemas,kratos-admin-medium
GET,/scim/{client}/v2/Schemas/{id},kratos-admin-medium
GET,/scim/{client}/v2/ServiceProviderConfig,kratos-admin-medium
GET,/scim/{client}/v2/Users,kratos-admin-medium
GET,/scim/{client}/v2/Users/{id},kratos-admin-medium
GET,/self-service/errors,kratos-public-low
GET,/self-service/fed-cm/parameters,kratos-public-low
POST,/self-service/fed-cm/token,kratos-public-high
POST,/self-service/login,kratos-public-high
GET,/self-service/login/api,kratos-public-medium
GET,/self-service/login/browser,kratos-public-medium
GET,/self-service/login/flows,kratos-public-low
HEAD,/self-service/fed-cm/parameters,kratos-public-low
GET,/self-service/logout,kratos-public-low
OPTIONS,/self-service/fed-cm/token,kratos-public-low
DELETE,/self-service/logout/api,kratos-public-medium
GET,/self-service/logout/browser,kratos-public-medium
GET,/self-service/login,kratos-public-low
OPTIONS,/self-service/login,kratos-public-low
GET,/self-service/methods/oidc/callback/{provider_id},kratos-public-medium
GET,/self-service/methods/oidc/organizations/{organization_id},kratos-public-medium
GET,/self-service/methods/saml/callback/{provider_id},kratos-public-medium
GET,/self-service/methods/saml/organizations/{organization_id},kratos-public-medium
POST,/self-service/recovery,kratos-public-high
HEAD,/self-service/login/browser,kratos-public-low
OPTIONS,/self-service/login/browser,kratos-public-low
POST,/self-service/login/browser,kratos-public-medium
GET,/self-service/recovery/api,kratos-public-medium
GET,/self-service/recovery/browser,kratos-public-medium
OPTIONS,/self-service/login/flows,kratos-public-low
GET,/self-service/recovery/flows,kratos-public-low
OPTIONS,/self-service/logout,kratos-public-low
POST,/self-service/registration,kratos-public-high
OPTIONS,/self-service/logout/browser,kratos-public-low
GET,/self-service/methods/oidc/callback,kratos-public-low
GET,/self-service/registration/api,kratos-public-medium
GET,/self-service/registration/browser,kratos-public-medium
GET,/self-service/registration/flows,kratos-public-low
POST,/self-service/settings,kratos-public-high
HEAD,/self-service/methods/oidc/callback/{provider_id},kratos-public-low
GET,/self-service/recovery,kratos-public-low
GET,/self-service/settings/api,kratos-public-medium
GET,/self-service/settings/browser,kratos-public-medium
GET,/self-service/settings/flows,kratos-public-low
POST,/self-service/verification,kratos-public-high
HEAD,/self-service/recovery,kratos-public-low
OPTIONS,/self-service/recovery,kratos-public-low
HEAD,/self-service/recovery/browser,kratos-public-low
GET,/self-service/verification/api,kratos-public-medium
GET,/self-service/verification/browser,kratos-public-medium
OPTIONS,/self-service/recovery/browser,kratos-public-low
GET,/self-service/verification/flows,kratos-public-low
OPTIONS,/self-service/recovery/flows,kratos-public-low
GET,/sessions,kratos-public-medium
DELETE,/sessions,kratos-public-high
DELETE,/sessions/{id},kratos-public-high
GET,/sessions/token-exchange,kratos-public-medium
GET,/self-service/registration,kratos-public-low
OPTIONS,/self-service/registration,kratos-public-low
HEAD,/self-service/registration/browser,kratos-public-low
GET,/sessions/whoami,kratos-public-low
OPTIONS,/self-service/registration/browser,kratos-public-low
GET,/self-service/settings,kratos-public-low
OPTIONS,/self-service/settings,kratos-public-low
GET,/self-service/verification,kratos-public-low
HEAD,/self-service/verification,kratos-public-low
OPTIONS,/self-service/verification,kratos-public-low
HEAD,/self-service/verification/browser,kratos-public-low
OPTIONS,/self-service/verification/flows,kratos-public-low
OPTIONS,/sessions,kratos-public-low
GET,/saml/.well-known/idp-metadata,polis-public-low
GET,/saml/.well-known/saml.cer,polis-public-low
GET,/saml/.well-known/sp-metadata,polis-public-low
GET,/saml/api/error,polis-public-low
POST,/saml/api/identity-federation/sso,polis-public-medium
GET,/saml/api/identity-federation/sso,polis-public-medium
POST,/saml/api/oauth/authorize,polis-public-medium
GET,/saml/api/oauth/authorize,polis-public-medium
GET,/saml/api/oauth/oidc,polis-public-medium
POST,/saml/api/oauth/saml,polis-public-medium
