Method,Path,Bucket
GET,/.well-known/openid-configuration,hydra-public-high
HEAD,/.well-known/openid-configuration,hydra-public-high
GET,/.well-known/jwks.json,hydra-public-high
GET,/.well-known/ory/webauthn.js,hydra-public-high
HEAD,/oauth2/auth,hydra-public-high
OPTIONS,/oauth2/auth,hydra-public-high
GET,/oauth2/consent,hydra-public-high
POST,/oauth2/device/auth,hydra-public-high
GET,/oauth2/fallbacks/logout/callback,hydra-public-high
OPTIONS,/oauth2/token,hydra-public-high
GET,/admin/clients,hydra-admin-medium
GET,/admin/trust/grants/jwt-bearer/issuers,hydra-admin-medium
POST,/credentials,hydra-admin-medium
GET,/admin/keys/{set},hydra-admin-medium
GET,/admin/keys/{set}/{kid},hydra-admin-medium
GET,/admin/trust/grants/jwt-bearer/issuers/{id},hydra-admin-medium
POST,/admin/clients,hydra-admin-low
PUT,/admin/clients/{id}/lifespans,hydra-admin-low
DELETE,/admin/oauth2/auth/sessions/consent,hydra-admin-low
DELETE,/admin/oauth2/auth/sessions/login,hydra-admin-low
DELETE,/admin/oauth2/tokens,hydra-admin-low
POST,/admin/trust/grants/jwt-bearer/issuers,hydra-admin-low
PUT,/admin/clients/{id},hydra-admin-low
PATCH,/admin/clients/{id},hydra-admin-low
DELETE,/admin/clients/{id},hydra-admin-low
POST,/admin/keys/{set},hydra-admin-low
PUT,/admin/keys/{set},hydra-admin-low
DELETE,/admin/keys/{set},hydra-admin-low
PUT,/admin/keys/{set}/{kid},hydra-admin-low
DELETE,/admin/keys/{set}/{kid},hydra-admin-low
DELETE,/admin/trust/grants/jwt-bearer/issuers/{id},hydra-admin-low
OPTIONS,/admin/clients,hydra-admin-high
GET,/admin/oauth2/auth/requests/consent,hydra-admin-high
PUT,/admin/oauth2/auth/requests/consent/accept,hydra-admin-high
PUT,/admin/oauth2/auth/requests/consent/reject,hydra-admin-high
PUT,/admin/oauth2/auth/requests/device/accept,hydra-admin-high
GET,/admin/oauth2/auth/requests/login,hydra-admin-high
PUT,/admin/oauth2/auth/requests/login/accept,hydra-admin-high
PUT,/admin/oauth2/auth/requests/login/reject,hydra-admin-high
GET,/admin/oauth2/auth/requests/logout,hydra-admin-high
PUT,/admin/oauth2/auth/requests/logout/accept,hydra-admin-high
PUT,/admin/oauth2/auth/requests/logout/reject,hydra-admin-high
GET,/admin/oauth2/auth/sessions/consent,hydra-admin-high
POST,/admin/oauth2/introspect,hydra-admin-high
GET,/oauth2/device/verify,hydra-admin-high
GET,/admin/clients/{id},hydra-admin-high
OPTIONS,/admin/clients/{id},hydra-admin-high
GET,/oauth2/register/{id},hydra-admin-high
GET,/oauth2/auth,hydra-public-medium
POST,/oauth2/auth,hydra-public-medium
POST,/oauth2/revoke,hydra-public-medium
GET,/oauth2/sessions/logout,hydra-public-medium
POST,/oauth2/sessions/logout,hydra-public-medium
POST,/oauth2/token,hydra-public-medium
GET,/userinfo,hydra-public-medium
POST,/oauth2/register,hydra-public-low
PUT,/oauth2/register/{id},hydra-public-low
DELETE,/oauth2/register/{id},hydra-public-low
PUT,/admin/relation-tuples,keto-admin-low
PATCH,/admin/relation-tuples,keto-admin-low
DELETE,/admin/relation-tuples,keto-admin-low
GET,/namespaces,keto-admin-low
POST,/ory.keto.relation_tuples.v1alpha2.WriteService/TransactRelationTuples,keto-admin-low
POST,/opl/syntax/check,keto-admin-medium
GET,/relation-tuples,keto-admin-medium
GET,/relation-tuples/expand,keto-admin-medium
POST,/ory.keto.relation_tuples.v1alpha2.CheckService/BatchCheck,keto-public-high
POST,/ory.keto.relation_tuples.v1alpha2.CheckService/Check,keto-public-high
POST,/relation-tuples/batch/check,keto-public-high
GET,/relation-tuples/check,keto-public-high
POST,/relation-tuples/check,keto-public-high
GET,/relation-tuples/check/openapi,keto-public-high
POST,/relation-tuples/check/openapi,keto-public-high
GET,/admin/courier/messages,kratos-admin-low
POST,/admin/identities,kratos-admin-low
PATCH,/admin/identities,kratos-admin-low
DELETE,/admin/identities/{id}/sessions,kratos-admin-low
POST,/admin/recovery/code,kratos-admin-low
POST,/admin/recovery/link,kratos-admin-low
PATCH,/admin/sessions/{id}/extend,kratos-admin-low
POST,/scim/{name}/v2/Groups,kratos-admin-low
POST,/scim/{name}/v2/Users,kratos-admin-low
PUT,/admin/identities/{id},kratos-admin-low
PATCH,/admin/identities/{id},kratos-admin-low
DELETE,/admin/identities/{id},kratos-admin-low
DELETE,/admin/identities/{id}/credentials/{type},kratos-admin-low
DELETE,/admin/sessions/{id},kratos-admin-low
PUT,/scim/{name}/v2/Groups/{id},kratos-admin-low
PATCH,/scim/{name}/v2/Groups/{id},kratos-admin-low
DELETE,/scim/{name}/v2/Groups/{id},kratos-admin-low
PUT,/scim/{name}/v2/Users/{id},kratos-admin-low
PATCH,/scim/{name}/v2/Users/{id},kratos-admin-low
DELETE,/scim/{name}/v2/Users/{id},kratos-admin-low
GET,/admin/identities,kratos-admin-medium
GET,/admin/identities/{id}/sessions,kratos-admin-medium
GET,/admin/sessions,kratos-admin-medium
GET,/schemas,kratos-admin-medium
GET,/scim/{name}/v2/Groups,kratos-admin-medium
GET,/scim/{name}/v2/Schemas,kratos-admin-medium
GET,/scim/{name}/v2/ServiceProviderConfig,kratos-admin-medium
GET,/scim/{name}/v2/Users,kratos-admin-medium
GET,/admin/courier/messages/{id},kratos-admin-medium
GET,/admin/identities/by/external/{externalID},kratos-admin-medium
GET,/schemas/{id},kratos-admin-medium
GET,/scim/{name}/v2/Groups/{id},kratos-admin-medium
GET,/scim/{name}/v2/Schemas/{id},kratos-admin-medium
GET,/scim/{name}/v2/Users/{id},kratos-admin-medium
GET,/self-service/errors,kratos-public-high
GET,/self-service/fed-cm/parameters,kratos-public-high
HEAD,/self-service/fed-cm/parameters,kratos-public-high
OPTIONS,/self-service/fed-cm/token,kratos-public-high
GET,/self-service/login,kratos-public-high
OPTIONS,/self-service/login,kratos-public-high
HEAD,/self-service/login/browser,kratos-public-high
OPTIONS,/self-service/login/browser,kratos-public-high
GET,/self-service/login/flows,kratos-public-high
OPTIONS,/self-service/login/flows,kratos-public-high
GET,/self-service/logout,kratos-public-high
OPTIONS,/self-service/logout,kratos-public-high
OPTIONS,/self-service/logout/browser,kratos-public-high
GET,/self-service/methods/oidc/callback,kratos-public-high
GET,/self-service/recovery,kratos-public-high
HEAD,/self-service/recovery,kratos-public-high
OPTIONS,/self-service/recovery,kratos-public-high
HEAD,/self-service/recovery/browser,kratos-public-high
OPTIONS,/self-service/recovery/browser,kratos-public-high
GET,/self-service/recovery/flows,kratos-public-high
OPTIONS,/self-service/recovery/flows,kratos-public-high
GET,/self-service/registration,kratos-public-high
OPTIONS,/self-service/registration,kratos-public-high
HEAD,/self-service/registration/browser,kratos-public-high
OPTIONS,/self-service/registration/browser,kratos-public-high
GET,/self-service/registration/flows,kratos-public-high
GET,/self-service/settings,kratos-public-high
OPTIONS,/self-service/settings,kratos-public-high
GET,/self-service/settings/flows,kratos-public-high
GET,/self-service/verification,kratos-public-high
HEAD,/self-service/verification,kratos-public-high
OPTIONS,/self-service/verification,kratos-public-high
HEAD,/self-service/verification/browser,kratos-public-high
GET,/self-service/verification/flows,kratos-public-high
OPTIONS,/self-service/verification/flows,kratos-public-high
OPTIONS,/sessions,kratos-public-high
GET,/sessions/whoami,kratos-public-high
HEAD,/self-service/methods/oidc/callback/{id},kratos-public-high
HEAD,/self-service/methods/oidc/callback/{name},kratos-public-high
POST,/self-service/fed-cm/token,kratos-public-low
POST,/self-service/login,kratos-public-low
POST,/self-service/recovery,kratos-public-low
POST,/self-service/registration,kratos-public-low
POST,/self-service/settings,kratos-public-low
POST,/self-service/verification,kratos-public-low
DELETE,/sessions,kratos-public-low
DELETE,/sessions/{id},kratos-public-low
GET,/self-service/login/api,kratos-public-medium
GET,/self-service/login/browser,kratos-public-medium
POST,/self-service/login/browser,kratos-public-medium
DELETE,/self-service/logout/api,kratos-public-medium
GET,/self-service/logout/browser,kratos-public-medium
GET,/self-service/recovery/api,kratos-public-medium
GET,/self-service/recovery/browser,kratos-public-medium
GET,/self-service/registration/api,kratos-public-medium
GET,/self-service/registration/browser,kratos-public-medium
GET,/self-service/settings/api,kratos-public-medium
GET,/self-service/settings/browser,kratos-public-medium
GET,/self-service/verification/api,kratos-public-medium
GET,/self-service/verification/browser,kratos-public-medium
GET,/sessions,kratos-public-medium
GET,/sessions/token-exchange,kratos-public-medium
GET,/self-service/methods/oidc/callback/{id},kratos-public-medium
GET,/self-service/methods/oidc/callback/{name},kratos-public-medium
GET,/self-service/methods/oidc/organizations/{id},kratos-public-medium
GET,/self-service/methods/saml/callback/{name},kratos-public-medium
GET,/self-service/methods/saml/organizations/{id},kratos-public-medium
GET,/admin/identities/{id},kratos-admin-high
OPTIONS,/admin/identities/{id},kratos-admin-high
GET,/admin/sessions/{id},kratos-admin-high
GET,/api/v1/dsync,polis-public-high
GET,/api/v1/dsync/events,polis-public-high
GET,/api/v1/dsync/groups,polis-public-high
GET,/api/v1/dsync/product,polis-public-high
GET,/api/v1/dsync/setuplinks,polis-public-high
GET,/api/v1/dsync/setuplinks/product,polis-public-high
GET,/api/v1/dsync/users,polis-public-high
GET,/api/v1/identity-federation,polis-public-high
GET,/api/v1/identity-federation/product,polis-public-high
GET,/api/v1/sso,polis-public-high
GET,/api/v1/sso/product,polis-public-high
GET,/api/v1/sso-traces,polis-public-high
GET,/api/v1/sso-traces/product,polis-public-high
GET,/oauth/userinfo,polis-public-high
GET,/saml/.well-known/idp-metadata,polis-public-high
GET,/saml/.well-known/sp-metadata,polis-public-high
GET,/saml/.well-known/saml.cer,polis-public-high
GET,/saml/api/error,polis-public-high
GET,/api/v1/dsync/groups/{groupId},polis-public-high
GET,/api/v1/dsync/groups/{groupId}/members,polis-public-high
GET,/api/v1/dsync/users/{userId},polis-public-high
DELETE,/api/v1/dsync/setuplinks,polis-public-medium
DELETE,/api/v1/identity-federation,polis-public-medium
DELETE,/api/v1/sso,polis-public-medium
PATCH,/api/v1/identity-federation,polis-public-medium
PATCH,/api/v1/sso,polis-public-medium
POST,/api/v1/dsync,polis-public-medium
POST,/api/v1/dsync/setuplinks,polis-public-medium
POST,/api/v1/identity-federation,polis-public-medium
POST,/api/v1/sso,polis-public-medium
POST,/oauth/token,polis-public-medium
GET,/saml/api/identity-federation/sso,polis-public-medium
POST,/saml/api/identity-federation/sso,polis-public-medium
GET,/saml/api/oauth/authorize,polis-public-medium
POST,/saml/api/oauth/authorize,polis-public-medium
GET,/saml/api/oauth/oidc,polis-public-medium
POST,/saml/api/oauth/saml,polis-public-medium
PATCH,/api/v1/dsync/{directoryId},polis-public-medium
